Player,Pos,Age,Tm,MP,FG%,3P%,eFG%,FT%,TRB,AST,STL,BLK,TOV,PTS
Juancho Hernangómez,PF,26,TOT,11.1,0.415,0.348,0.528,0.559,2.5,0.5,0.4,0.3,0.4,3.3
Juancho Hernangómez,PF,26,BOS,5.3,0.185,0.167,0.241,0.667,1.4,0.2,0.2,0.1,0.3,1.1
Juancho Hernangómez,PF,26,SAS,10.2,0.333,0,0.333,0.75,3,0.6,0.2,0.2,0.4,1.4
Juancho Hernangómez,PF,26,UTA,17.5,0.507,0.438,0.651,0.476,3.5,0.8,0.5,0.4,0.5,6.2
Willy Hernangómez,C,27,NOP,16.8,0.52,0.333,0.526,0.773,6.8,1.3,0.4,0.4,1,9.1
Tyler Herro,SG,22,MIA,32.6,0.447,0.399,0.525,0.868,5,4,0.7,0.1,2.6,20.7
Buddy Hield,SG,29,TOT,30.9,0.406,0.366,0.526,0.874,4.4,2.8,0.9,0.3,1.9,15.6
Buddy Hield,SG,29,SAC,28.6,0.382,0.368,0.514,0.87,4,1.9,0.9,0.3,1.6,14.4
Buddy Hield,SG,29,IND,35.6,0.447,0.362,0.546,0.886,5.1,4.8,1,0.4,2.4,18.2
Haywood Highsmith,SF,25,MIA,8.6,0.348,0.321,0.446,0.4,1.4,0.3,0.1,0.2,0.2,2.3
George Hill,SG,35,MIL,23.2,0.429,0.306,0.504,0.919,2.9,2.2,0.8,0.1,0.8,6.2
Malcolm Hill,SF-SG,26,TOT,11.2,0.462,0.361,0.587,0.786,1.8,0.4,0.4,0.2,0.2,3.8
Malcolm Hill,SG,26,ATL,15.3,0.625,0.6,0.813,1,2,0.3,1.3,0.3,0,5.7
Malcolm Hill,SF,26,CHI,10.4,0.432,0.323,0.545,0.7,1.8,0.4,0.2,0.1,0.2,3.4
Solomon Hill,PF,30,ATL,10.7,0.15,0.154,0.2,0,1.8,0.9,0.3,0.2,0.1,0.6
Nate Hinton,SG,22,IND,1,0,0,0,0,0,0,0,0,0.5,0
Jaylen Hoard,SF,22,OKC,34.3,0.489,0.36,0.539,0.429,12,2.4,0.9,0.7,1.1,14.7
Aaron Holiday,PG,25,TOT,16.2,0.447,0.379,0.504,0.868,1.9,2.4,0.7,0.1,1.1,6.3
Aaron Holiday,PG,25,WAS,16.2,0.467,0.343,0.521,0.8,1.6,1.9,0.6,0.2,1,6.1
Aaron Holiday,PG,25,PHO,16.3,0.411,0.444,0.476,0.939,2.5,3.4,0.8,0,1.3,6.8
Jrue Holiday,PG,31,MIL,32.9,0.501,0.411,0.57,0.761,4.5,6.8,1.6,0.4,2.7,18.3
Justin Holiday,SF-SG,32,TOT,27.8,0.394,0.367,0.528,0.806,2.6,1.7,0.8,0.4,0.9,10.1
Justin Holiday,SF,32,IND,28.9,0.415,0.378,0.553,0.829,2.8,1.8,0.7,0.4,1,11
Justin Holiday,SG,32,SAC,25.6,0.348,0.342,0.471,0.762,2.2,1.5,0.8,0.6,0.8,8.3
Richaun Holmes,C,28,SAC,23.9,0.66,0.4,0.663,0.778,7,1.1,0.4,0.9,1.2,10.4
Rodney Hood,SF-SG,29,TOT,13.6,0.369,0.33,0.465,0.895,1.5,0.7,0.3,0.1,0.2,3.1
Rodney Hood,SF,29,MIL,14.9,0.351,0.3,0.443,0.929,1.7,0.8,0.3,0.1,0.2,3.3
Rodney Hood,SG,29,LAC,9.8,0.462,0.545,0.577,0.8,0.8,0.6,0.2,0.2,0.3,2.6
Scotty Hopson,SG,32,OKC,18,0.5,0,0.5,0,1,1,0,0,2,4
Al Horford,C,35,BOS,29.1,0.467,0.336,0.546,0.842,7.7,3.4,0.7,1.3,0.9,10.2
Talen Horton-Tucker,SG,21,LAL,25.2,0.416,0.269,0.462,0.8,3.2,2.7,1,0.5,1.4,10
Danuel House Jr.,SF,28,TOT,17.3,0.404,0.376,0.515,0.759,2.6,1,0.5,0.4,0.8,5.9
Danuel House Jr.,SF,28,HOU,14.6,0.338,0.294,0.405,0.895,2.7,1.2,0.3,0.3,1.1,4.8
Danuel House Jr.,SF,28,NYK,3,0,0,0,0,0,0,0,0,0,0
Danuel House Jr.,SF,28,UTA,19.6,0.447,0.415,0.585,0.692,2.7,1,0.6,0.5,0.6,6.8
Dwight Howard,C,36,LAL,16.2,0.612,0.533,0.63,0.658,5.9,0.6,0.6,0.6,0.8,6.2
Markus Howard,SG,22,DEN,5.7,0.386,0.4,0.525,0.87,0.4,0.2,0.3,0,0.2,4.1
Kevin Huerter,SG,23,ATL,29.6,0.454,0.389,0.559,0.808,3.4,2.7,0.7,0.4,1.2,12.1
Jay Huff,C,23,LAL,5,0,0,0,0,1,0.3,0.3,0.3,0.3,0
Elijah Hughes,SG-SF,23,TOT,12.1,0.326,0.263,0.413,0.778,1.6,0.6,0.4,0.2,0.5,3.5
Elijah Hughes,SF,23,UTA,8,0.417,0.357,0.556,1,1.2,0.4,0.3,0.1,0.5,3.1
